Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
01709,1709,1709,158193615,Некорректные данные: + 2000000016863,Дом,01709,Таблетки для унитаза розовые 12 шт цветочная вишня,1709,"1,4","268,0",Некорректные данные: + 2000000016863,{'ean13': '2000000016863'},"0,2",158193615,Sale,"34,5",,0.0,
01352,1352,1352,139405545/165261677,2000000021362,Стоматология,01352,Жидкость для определения налёта 5 мл,1352,"5,0","155,0",2000000021362,1352,"0,02",139405545/165261677,B1 TOP,"34,5",,99.0,
01711,1711/350,1711,152614263,Некорректные данные: + 2000000016689,Здоровье,01711,"Силиконовый экзопротез молочной железы после мастэктомии , вкладыш в бюстгальтер , 1 шт. (треугольный 350)",1711/350,"39,0","761,0",Некорректные данные: + 2000000016689,{'ean13': '2000000016689'},"0,4",152614263,A1 TOP,"34,5",,26.0,
00805,805,805,80131477,2000000004174,Для малышей,00805,"Набор для маникюра детский: пилочка, ножнички, щипчики, пинцет, цвет: СИРЕНЕВЫЙ",805,"4,4","148,0",2000000004174,805,"0,08",80131477,Sale,"29,5",,0.0,
01712,1712/350,1712,152812847,Некорректные данные: + 2000000016870,Здоровье,01712,"Силиконовый экзопротез молочной железы после мастэктомии , вкладыш в бюстгальтер , 1 шт. (правый предпоследний 350) 右侧螺旋型",1712/350,"39,0","832,0",Некорректные данные: + 2000000016870,{'ean13': '2000000016870'},"0,4",152812847,A2,"34,5",,32.0,
00831,831/33-55,831,77799227,2000000004488,Для малышей,00831,"Детский, силиконовый козырек для купания. КРАБИК ярко-розовый.",831/33-55,"6,8","195,0",2000000004488,831,"0,1",77799227,C1,"34,5",,0.0,
01713,1713/350,1713,152812848,Некорректные данные: + 2000000016924,Здоровье,01713,"Силиконовый экзопротез молочной железы после мастэктомии , вкладыш в бюстгальтер , 1 шт. (левый предпоследний 350) 左侧螺旋型",1713/350,"39,0","832,0",Некорректные данные: + 2000000016924,{'ean13': '2000000016924'},"0,4",152812848,A2,"34,5",,19.0,
01310,1310,1310,103065210,2000000011004,Для животных,01310,Лизалка ЛАПКА - Белая,1310,"3,9","117,0",2000000011004,нет,"0,03",103065210,Архив,"34,5",,0.0,
01714,1714,1714,упаковка для Протеза,Некорректные данные: + 2000000016665,Здоровье,01714,Косметички под протезы - упаковка для протеза молочной железы 14*20*7 розовая,1714,"3,6","89,0",Некорректные данные: + 2000000016665,{'ean13': '2000000016665'},"0,01",упаковка для Протеза,упаковка,"34,5",,0.0,
01715,1715/XL,1715,152428650,Некорректные данные: + 2000000016757,Для реабилитации,01715,"Бандаж грыжевой паховый, противогрыжевый (черный XL)",1715/XL,"24,1","507,0",Некорректные данные: + 2000000016757,{'ean13': '2000000016757'},"0,15",152428650,A2,"34,5",,0.0,
01716,1716,1716,152402342/165161144,Некорректные данные: + 2000000016771,Для животных,01716,декорации для аквариума знак желтый GT1697,1716,"6,0","193,0",Некорректные данные: + 2000000016771,{'ean13': '2000000016771'},"0,07",152402342/165161144,C2,"34,5",,13.0,
01717,1717,1717,152403275/165182046,Некорректные данные: + 2000000016801,Для животных,01717,декорации для аквариума знак коричневый GT1576,1717,"6,0","191,0",Некорректные данные: + 2000000016801,{'ean13': '2000000016801'},"0,07",152403275/165182046,C2,"34,5",,0.0,
